Experiment Batch,Collection Day,Collection Number,Name,Line,Differentiation Day
1,1,1,CD1col1,19093,7
1,1,1,CD1col1,18912,3
1,1,1,CD1col1,18520,1
1,1,2,CD1col2,18858,7
1,1,2,CD1col2,18520,3
1,1,2,CD1col2,18508,1
1,1,3,CD1col3,18912,7
1,1,3,CD1col3,18508,3
1,1,3,CD1col3,18511,1
1,1,4,CD1col4,18520,7
1,1,4,CD1col4,18511,3
1,1,4,CD1col4,19093,1
1,1,5,CD1col5,18508,7
1,1,5,CD1col5,19093,3
1,1,5,CD1col5,18858,1
1,1,6,CD1col6,18511,7
1,1,6,CD1col6,18858,3
1,1,6,CD1col6,18912,1
1,2,1,CD2col1,19093,11
1,2,1,CD2col1,18912,7
1,2,1,CD2col1,18520,5
1,2,2,CD2col2,18858,11
1,2,2,CD2col2,18520,7
1,2,2,CD2col2,18508,5
1,2,3,CD2col3,18912,11
1,2,3,CD2col3,18508,7
1,2,3,CD2col3,18511,5
1,2,4,CD2col4,18520,11
1,2,4,CD2col4,18511,7
1,2,4,CD2col4,19093,5
1,2,5,CD2col5,18508,11
1,2,5,CD2col5,19093,7
1,2,5,CD2col5,18858,5
1,2,6,CD2col6,18511,11
1,2,6,CD2col6,18858,7
1,2,6,CD2col6,18912,5
1,3,1,CD3col1,19093,15
1,3,1,CD3col1,18912,11
1,3,1,CD3col1,18858,0
1,3,2,CD3col2,18858,15
1,3,2,CD3col2,18520,11
1,3,2,CD3col2,18912,0
1,3,3,CD3col3,18912,15
1,3,3,CD3col3,18508,11
1,3,3,CD3col3,18520,0
1,3,4,CD3col4,18520,15
1,3,4,CD3col4,18511,11
1,3,4,CD3col4,18508,0
1,3,5,CD3col5,18508,15
1,3,5,CD3col5,19093,11
1,3,5,CD3col5,18511,0
1,3,6,CD3col6,18511,15
1,3,6,CD3col6,18858,11
1,3,6,CD3col6,19093,0
